alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.859	1.066	0.102	88.0	14.0	423.0	3.0	1.0	0	0.00037299999999999996
1.958	7.873	0.342	83.0	22.0	413.0	0.0	1.0	7	0.0039264
1.958	6.291	0.228	83.0	22.0	413.0	3.0	0.0	4	0.038968199999999995
2.01	6.404	0.686	45.0	36.0	556.0	2.0	1.0	4	0.0459634
6.171	7.495	0.371	57.0	37.0	23.0	1.0	0.0	0	0.055833999999999995
2.01	6.404	0.686	45.0	36.0	192.0	2.0	1.0	3	0.0698912
5.562	9.26	0.665	83.0	22.0	126.0	3.0	0.0	6	0.07098600000000001
6.942	8.438	0.969	82.0	33.0	81.0	1.0	1.0	5	0.0965018
1.623	6.907	0.244	97.0	21.0	233.0	2.0	1.0	3	0.13474619999999998
6.612	8.438	0.769	66.0	34.0	81.0	0.0	1.0	5	0.1588976
1.623	6.907	0.244	97.0	40.0	233.0	1.0	0.0	4	0.177618
4.386	9.628	0.161	86.0	23.0	349.0	1.0	1.0	5	0.1853504
4.237	5.447	0.791	76.0	17.0	177.0	3.0	0.0	5	0.1879656
4.237	5.447	0.791	76.0	17.0	177.0	3.0	1.0	6	0.2088476
3.859	5.853	0.102	99.0	14.0	423.0	1.0	1.0	4	0.21251899999999999
5.562	6.291	0.228	83.0	22.0	413.0	3.0	0.0	2	0.220451
1.623	6.907	0.244	97.0	21.0	416.0	2.0	1.0	6	0.2232606
1.206	5.21	0.918	93.0	27.0	591.0	1.0	0.0	2	0.23665180000000002
5.657	4.52	0.92	89.0	28.0	133.0	3.0	1.0	4	0.241516
8.666	6.404	0.686	62.0	8.0	192.0	2.0	1.0	5	0.2566198
5.657	4.52	0.92	89.0	28.0	133.0	3.0	0.0	7	0.2681772
5.657	1.894	0.92	32.0	26.0	236.0	2.0	1.0	3	0.308345
2.01	4.04	0.686	93.0	36.0	556.0	2.0	1.0	6	0.36572259999999995
3.859	5.853	0.102	99.0	12.0	423.0	1.0	1.0	7	0.4269518
1.958	6.291	0.228	83.0	25.0	413.0	3.0	0.0	5	0.48459620000000003
