alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
5.257	9.619	0.563	50.0	26.0	57.0	0.0	1.0	3	0.0067942
3.911	8.005	0.52	84.0	26.0	57.0	0.0	1.0	4	0.022736399999999997
1.311	3.29	0.606	80.0	16.0	338.0	2.0	1.0	3	0.029434
3.911	8.005	0.496	82.0	26.0	186.0	0.0	1.0	2	0.0317544
2.01	6.404	0.945	81.0	15.0	502.0	1.0	1.0	4	0.038162999999999996
7.49	9.265	0.844	47.0	24.0	669.0	0.0	0.0	6	0.0595978
6.171	5.194	0.371	57.0	37.0	23.0	1.0	0.0	2	0.0605998
5.257	9.619	0.563	50.0	26.0	57.0	2.0	1.0	7	0.0914012
2.01	8.286	0.142	20.0	48.0	157.0	2.0	1.0	5	0.0939336
1.311	3.29	0.606	80.0	16.0	338.0	1.0	1.0	2	0.1136344
6.171	5.194	0.657	57.0	37.0	23.0	1.0	0.0	6	0.1287056
2.01	8.286	0.142	20.0	25.0	157.0	2.0	1.0	4	0.1403582
3.911	8.005	0.496	82.0	43.0	186.0	0.0	0.0	6	0.1405574
2.01	5.748	0.208	35.0	36.0	479.0	2.0	1.0	5	0.2256474
2.729	9.993	0.772	80.0	16.0	233.0	1.0	1.0	5	0.2566112
6.171	5.194	0.771	57.0	37.0	23.0	1.0	0.0	7	0.263483
1.311	3.29	0.222	78.0	44.0	567.0	2.0	1.0	6	0.26856660000000004
3.911	8.005	0.645	82.0	26.0	186.0	0.0	1.0	5	0.2722158
2.01	6.404	0.187	81.0	15.0	502.0	1.0	1.0	7	0.3286192
7.53	9.265	0.539	47.0	24.0	669.0	0.0	0.0	2	0.36029160000000005
2.729	9.993	0.772	80.0	16.0	233.0	3.0	1.0	7	0.3632818
3.911	8.005	0.563	78.0	14.0	57.0	0.0	1.0	7	0.3707496
3.911	8.005	0.229	82.0	43.0	519.0	1.0	1.0	7	0.42839
2.01	6.404	0.945	20.0	29.0	192.0	1.0	1.0	3	0.45796739999999997
1.311	3.26	0.222	78.0	44.0	567.0	2.0	1.0	7	0.470261
