alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.311	3.29	0.606	72.0	28.0	480.0	2.0	1.0	4	-0.0
1.623	2.924	0.244	59.0	41.0	298.0	2.0	1.0	5	0.0216772
1.053	2.924	0.244	59.0	46.0	311.0	3.0	1.0	6	0.0325818
1.311	3.29	0.606	72.0	16.0	480.0	1.0	0.0	0	0.0426276
3.859	9.63	0.186	21.0	14.0	423.0	1.0	0.0	4	0.0449804
8.911	7.619	0.52	78.0	26.0	57.0	3.0	1.0	1	0.08887540000000001
5.02	3.63	0.103	89.0	30.0	117.0	2.0	1.0	3	0.1027458
1.311	3.29	0.606	72.0	16.0	480.0	3.0	0.0	1	0.10792379999999999
1.311	3.29	0.606	36.0	28.0	480.0	2.0	1.0	7	0.12714
1.311	3.989	0.522	41.0	27.0	480.0	2.0	1.0	6	0.12996560000000001
8.911	6.873	0.52	78.0	26.0	57.0	0.0	1.0	7	0.13910240000000001
1.4	6.554	0.738	9.0	30.0	117.0	3.0	1.0	3	0.173326
7.015	1.066	0.102	88.0	14.0	423.0	3.0	1.0	2	0.1863554
1.311	3.29	0.814	72.0	16.0	480.0	2.0	1.0	5	0.19348579999999999
1.4	5.292	0.738	9.0	30.0	117.0	3.0	1.0	2	0.1953756
1.4	5.292	0.738	9.0	30.0	117.0	3.0	0.0	7	0.1961462
1.311	3.29	0.606	98.0	16.0	480.0	2.0	1.0	7	0.2220794
3.911	8.005	0.52	28.0	25.0	57.0	3.0	1.0	7	0.2481652
3.911	8.005	0.52	21.0	32.0	57.0	3.0	1.0	6	0.25912999999999997
3.911	8.005	0.52	21.0	25.0	57.0	3.0	1.0	3	0.2640842
1.311	3.29	0.176	72.0	16.0	135.0	2.0	1.0	6	0.291952
7.173	3.63	0.721	83.0	30.0	117.0	2.0	1.0	4	0.317327
3.859	9.898	0.102	88.0	14.0	489.0	1.0	0.0	4	0.3402838
1.844	1.066	0.102	88.0	14.0	423.0	3.0	1.0	3	0.3916908
8.911	2.249	0.52	78.0	26.0	57.0	3.0	1.0	3	0.4017818
