alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
7.53	9.265	0.289	87.0	24.0	33.0	0.0	0.0	5	-0.0
6.556	5.157	0.686	95.0	36.0	561.0	0.0	1.0	7	0.006439599999999999
3.859	1.066	0.102	37.0	14.0	109.0	3.0	1.0	2	0.0348166
4.766	9.265	0.289	47.0	24.0	33.0	0.0	0.0	7	0.0550616
3.859	1.066	0.102	96.0	14.0	109.0	3.0	1.0	3	0.0734702
6.615	9.265	0.289	44.0	24.0	604.0	0.0	0.0	6	0.0743494
7.477	9.265	0.289	87.0	24.0	604.0	3.0	0.0	6	0.089639
2.01	1.502	0.686	94.0	36.0	192.0	2.0	1.0	6	0.0998516
2.091	4.105	0.686	100.0	34.0	595.0	0.0	1.0	6	0.10431139999999998
3.859	7.358	0.911	88.0	14.0	390.0	2.0	1.0	4	0.116295
7.53	9.265	0.289	87.0	24.0	604.0	0.0	1.0	2	0.1333046
4.899	7.99	0.244	97.0	41.0	475.0	3.0	0.0	5	0.1435936
8.122	2.885	0.102	96.0	14.0	109.0	3.0	1.0	5	0.1630196
1.311	9.511	0.606	72.0	16.0	480.0	1.0	0.0	3	0.17320560000000002
1.311	3.29	0.606	72.0	16.0	480.0	1.0	0.0	0	0.1734464
6.556	6.877	0.686	65.0	30.0	192.0	2.0	1.0	7	0.1943298
6.615	9.265	0.289	87.0	24.0	604.0	1.0	0.0	2	0.22198679999999998
1.311	3.29	0.606	33.0	16.0	480.0	1.0	0.0	6	0.2449078
3.859	7.358	0.911	88.0	41.0	390.0	2.0	1.0	5	0.2854306
6.615	9.265	0.289	41.0	24.0	604.0	1.0	0.0	3	0.312129
4.386	9.21	0.919	52.0	37.0	349.0	3.0	1.0	7	0.32745219999999997
3.859	1.066	0.257	57.0	14.0	109.0	3.0	1.0	6	0.4045072
6.556	6.877	0.686	65.0	36.0	192.0	2.0	1.0	3	0.43566479999999996
6.615	9.265	0.289	60.0	24.0	604.0	1.0	0.0	7	0.45989599999999997
4.059	4.63	0.257	57.0	14.0	109.0	3.0	1.0	7	0.5358586000000001
