alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.311	3.29	0.606	72.0	16.0	480.0	1.0	0.0	0	0.0078528
7.582	9.265	0.289	87.0	24.0	394.0	1.0	0.0	3	0.014396999999999998
1.623	1.286	0.244	97.0	34.0	531.0	1.0	0.0	2	0.0183234
9.315	7.495	0.371	57.0	37.0	23.0	1.0	0.0	1	0.027916200000000002
5.813	9.533	0.7	88.0	8.0	235.0	2.0	0.0	7	0.039008799999999996
9.315	9.813	0.371	57.0	37.0	23.0	0.0	0.0	4	0.11363400000000001
5.813	9.644	0.7	88.0	8.0	235.0	2.0	1.0	5	0.1305556
6.612	8.438	0.63	66.0	33.0	606.0	0.0	1.0	1	0.187759
1.311	3.29	0.606	72.0	11.0	480.0	3.0	0.0	6	0.1983136
5.813	9.533	0.7	88.0	8.0	235.0	2.0	1.0	6	0.203512
2.412	9.293	0.627	50.0	12.0	328.0	0.0	0.0	3	0.204203
9.315	7.02	0.371	57.0	37.0	23.0	0.0	0.0	7	0.209082
6.592	9.265	0.289	88.0	24.0	394.0	2.0	1.0	6	0.23210620000000004
4.386	9.628	0.161	62.0	23.0	384.0	1.0	1.0	3	0.24085900000000002
5.813	9.644	0.102	88.0	8.0	712.0	1.0	1.0	1	0.2411598
1.311	2.083	0.606	72.0	39.0	480.0	1.0	0.0	3	0.27664600000000006
6.612	7.95	0.969	66.0	33.0	81.0	0.0	1.0	2	0.2828094
7.212	5.536	0.186	78.0	27.0	190.0	2.0	1.0	5	0.2894658
1.311	3.29	0.606	89.0	40.0	395.0	1.0	0.0	4	0.298383
2.412	2.797	0.262	83.0	12.0	328.0	0.0	0.0	4	0.3146902
9.315	7.495	0.371	57.0	37.0	23.0	0.0	0.0	2	0.32096
2.412	9.293	0.262	50.0	12.0	328.0	0.0	0.0	2	0.3263
8.835	7.495	0.371	57.0	37.0	23.0	0.0	0.0	3	0.4087276
7.212	5.536	0.52	78.0	27.0	190.0	2.0	1.0	2	0.4573976
3.497	8.438	0.63	66.0	33.0	606.0	0.0	1.0	7	0.8199837999999999
