alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.311	3.29	0.606	72.0	42.0	480.0	1.0	0.0	4	-0.0
3.911	8.005	0.512	78.0	30.0	57.0	1.0	1.0	7	0.0041598
8.78	8.005	0.574	78.0	26.0	57.0	1.0	1.0	7	0.0054354
1.311	3.29	0.606	72.0	28.0	480.0	1.0	0.0	4	0.0061558
6.171	7.495	0.371	57.0	37.0	23.0	1.0	0.0	0	0.0127798
6.171	7.495	0.371	37.0	37.0	29.0	1.0	1.0	7	0.0175772
3.911	8.005	0.512	78.0	26.0	57.0	0.0	1.0	2	0.0348366
9.626	7.495	0.371	57.0	37.0	23.0	1.0	0.0	7	0.0418984
6.171	7.495	0.371	57.0	37.0	23.0	1.0	1.0	2	0.068017
7.496	1.955	0.371	57.0	37.0	23.0	1.0	1.0	7	0.0785476
8.45	4.136	0.345	24.0	43.0	149.0	1.0	1.0	1	0.0964272
3.911	8.005	0.52	78.0	29.0	429.0	0.0	1.0	7	0.1072206
3.911	8.005	0.574	78.0	26.0	57.0	1.0	1.0	5	0.11380279999999998
3.911	8.005	0.52	78.0	29.0	57.0	0.0	1.0	1	0.13547959999999998
1.623	6.907	0.244	36.0	41.0	233.0	1.0	0.0	2	0.1383918
1.623	9.296	0.244	36.0	41.0	233.0	1.0	0.0	6	0.1419862
1.311	3.29	0.606	72.0	24.0	480.0	1.0	0.0	2	0.194552
2.823	5.416	0.447	81.0	46.0	535.0	1.0	0.0	0	0.21762540000000002
6.171	7.495	0.371	37.0	37.0	23.0	1.0	1.0	5	0.21783760000000002
6.171	6.824	0.371	90.0	37.0	23.0	1.0	1.0	5	0.2371486
6.171	6.824	0.371	57.0	37.0	23.0	1.0	1.0	4	0.243458
2.823	5.416	0.447	81.0	46.0	535.0	2.0	0.0	1	0.2831132
1.311	7.875	0.606	72.0	24.0	480.0	1.0	0.0	5	0.3380118
3.911	8.005	0.512	78.0	26.0	57.0	1.0	1.0	4	0.3702386
9.244	2.521	0.826	28.0	20.0	411.0	3.0	1.0	1	0.5087157999999999
