alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
7.53	9.265	0.289	87.0	24.0	604.0	1.0	0.0	0	0.0603494
3.243	7.079	0.447	81.0	30.0	535.0	3.0	0.0	3	0.0626894
2.01	3.792	0.19	94.0	36.0	256.0	2.0	0.0	5	0.069371
6.736	3.93	0.371	57.0	37.0	23.0	1.0	1.0	3	0.0772668
3.033	5.262	0.969	71.0	33.0	81.0	0.0	0.0	4	0.0860564
3.911	8.005	0.52	41.0	25.0	57.0	3.0	1.0	5	0.1020518
3.243	7.079	0.447	85.0	30.0	535.0	3.0	0.0	6	0.10989360000000001
1.779	4.52	0.872	34.0	28.0	163.0	3.0	1.0	6	0.12168939999999999
1.779	4.52	0.872	34.0	28.0	163.0	2.0	1.0	1	0.12536039999999998
1.311	3.29	0.583	33.0	16.0	439.0	2.0	1.0	4	0.1270926
3.911	5.188	0.52	41.0	28.0	57.0	3.0	1.0	7	0.1275414
1.311	3.29	0.583	33.0	16.0	304.0	2.0	1.0	5	0.1387856
3.911	8.005	0.52	41.0	22.0	57.0	3.0	1.0	7	0.1435784
3.922	5.416	0.447	81.0	46.0	535.0	0.0	1.0	2	0.154501
2.823	5.416	0.447	81.0	46.0	535.0	1.0	1.0	1	0.15516780000000002
1.779	4.52	0.888	34.0	28.0	163.0	3.0	1.0	7	0.17190940000000002
3.911	8.005	0.52	41.0	26.0	57.0	3.0	1.0	4	0.1787274
3.911	8.005	0.52	48.0	26.0	57.0	0.0	1.0	5	0.1857418
3.033	6.084	0.969	91.0	33.0	81.0	0.0	1.0	3	0.18764240000000001
2.01	2.919	0.681	56.0	23.0	314.0	2.0	1.0	6	0.20982580000000003
2.01	2.612	0.19	94.0	36.0	314.0	2.0	1.0	4	0.2410092
2.941	2.919	0.681	56.0	23.0	314.0	2.0	1.0	7	0.25321720000000003
9.357	7.075	0.872	75.0	28.0	163.0	1.0	1.0	7	0.30817900000000004
1.311	3.29	0.606	33.0	16.0	476.0	2.0	1.0	3	0.3739818
2.904	9.517	0.865	51.0	9.0	510.0	3.0	0.0	3	0.378383
