alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.911	8.005	0.52	78.0	26.0	57.0	0.0	1.0	0	-0.0
3.122	8.509	0.573	50.0	31.0	382.0	2.0	0.0	6	-0.0
2.823	5.416	0.476	54.0	27.0	86.0	1.0	0.0	5	0.0061558
2.01	8.726	0.686	20.0	36.0	720.0	1.0	1.0	6	0.008207599999999999
4.372	7.495	0.759	57.0	50.0	23.0	2.0	1.0	4	0.010191200000000001
3.446	8.509	0.445	50.0	31.0	382.0	2.0	0.0	7	0.013003
4.386	9.628	0.161	62.0	23.0	349.0	1.0	1.0	0	0.018653
2.823	5.035	0.476	81.0	46.0	86.0	1.0	0.0	3	0.0424446
7.611	7.495	0.371	77.0	23.0	747.0	2.0	1.0	6	0.0948244
1.311	3.29	0.606	72.0	16.0	236.0	1.0	0.0	5	0.11240140000000001
2.01	8.726	0.686	20.0	36.0	192.0	1.0	1.0	4	0.1238704
1.941	4.253	0.161	62.0	23.0	331.0	1.0	1.0	4	0.13449380000000002
3.446	8.509	0.573	50.0	31.0	382.0	2.0	0.0	2	0.1475986
2.823	4.705	0.935	81.0	46.0	379.0	1.0	1.0	7	0.14942080000000002
4.386	9.628	0.161	62.0	23.0	331.0	1.0	1.0	2	0.167394
2.01	4.83	0.686	20.0	36.0	558.0	2.0	0.0	7	0.17584119999999998
6.612	8.592	0.969	66.0	33.0	81.0	1.0	1.0	5	0.17767460000000002
3.881	7.495	0.371	57.0	23.0	412.0	2.0	1.0	3	0.180398
1.941	4.253	0.438	62.0	23.0	331.0	1.0	1.0	7	0.1832468
2.01	6.404	0.686	20.0	36.0	192.0	1.0	1.0	3	0.22354440000000003
7.7	5.035	0.476	53.0	46.0	86.0	1.0	1.0	6	0.23559599999999997
7.611	7.495	0.371	77.0	23.0	412.0	2.0	1.0	5	0.2522486
3.911	5.997	0.52	78.0	26.0	57.0	0.0	1.0	3	0.2553612
2.823	3.788	0.476	81.0	46.0	86.0	1.0	1.0	7	0.2703082
4.652	7.495	0.371	57.0	23.0	412.0	2.0	1.0	6	0.3551382
