alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.911	3.989	0.52	87.0	26.0	57.0	0.0	1.0	5	-0.0
6.171	7.495	0.371	57.0	37.0	23.0	1.0	0.0	0	-0.0
2.01	8.308	0.686	20.0	21.0	87.0	2.0	1.0	5	0.0338406
7.045	9.628	0.364	62.0	23.0	489.0	1.0	1.0	6	0.046549799999999995
5.917	9.628	0.161	62.0	23.0	349.0	1.0	1.0	7	0.06318080000000001
2.01	7.025	0.686	20.0	36.0	445.0	2.0	0.0	2	0.0643382
2.01	6.404	0.686	20.0	36.0	330.0	2.0	1.0	1	0.0647586
1.348	7.025	0.686	40.0	36.0	583.0	2.0	0.0	3	0.06677839999999999
3.911	8.005	0.52	78.0	26.0	57.0	0.0	1.0	0	0.06847299999999999
3.911	8.005	0.264	48.0	22.0	57.0	0.0	1.0	7	0.0794712
9.159	9.001	0.64	78.0	47.0	502.0	3.0	1.0	7	0.083149
7.745	9.628	0.161	62.0	23.0	489.0	1.0	1.0	4	0.1182388
9.159	3.989	0.686	79.0	29.0	737.0	1.0	1.0	6	0.12093340000000001
3.859	6.81	0.102	88.0	18.0	423.0	0.0	1.0	3	0.12119100000000001
1.311	3.29	0.521	26.0	23.0	347.0	0.0	0.0	4	0.1281816
4.386	9.628	0.161	62.0	23.0	349.0	1.0	1.0	0	0.1477594
4.386	6.088	0.161	62.0	23.0	489.0	1.0	1.0	6	0.15186
4.386	9.628	0.161	62.0	23.0	489.0	1.0	1.0	1	0.17764980000000002
3.301	7.495	0.371	93.0	37.0	566.0	1.0	1.0	1	0.18853779999999998
6.171	7.495	0.906	57.0	37.0	23.0	1.0	0.0	5	0.19125540000000002
9.159	3.989	0.52	78.0	47.0	15.0	1.0	1.0	4	0.2182474
2.073	7.025	0.686	40.0	11.0	583.0	0.0	0.0	5	0.24456699999999998
2.01	6.404	0.686	20.0	36.0	192.0	2.0	1.0	0	0.27111
2.01	6.404	0.615	20.0	36.0	703.0	2.0	1.0	4	0.3539544
4.386	6.088	0.872	31.0	11.0	650.0	1.0	1.0	7	0.5022564
