alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.823	6.844	0.447	81.0	44.0	535.0	2.0	1.0	5	0.0014962
2.823	5.416	0.447	81.0	44.0	535.0	1.0	0.0	1	0.0082904
3.446	1.035	0.16	50.0	12.0	382.0	1.0	0.0	4	0.0336074
5.93	7.495	0.113	49.0	14.0	526.0	1.0	0.0	3	0.046861599999999996
2.513	5.416	0.447	81.0	22.0	535.0	3.0	1.0	7	0.05833879999999999
2.823	5.416	0.447	81.0	44.0	535.0	3.0	0.0	4	0.08607139999999999
3.446	5.802	0.792	50.0	28.0	382.0	3.0	1.0	2	0.0892534
4.059	6.117	0.161	84.0	29.0	349.0	1.0	1.0	7	0.0946062
1.311	3.29	0.606	72.0	12.0	480.0	2.0	0.0	4	0.0951622
3.446	5.802	0.344	86.0	28.0	382.0	3.0	1.0	6	0.09563479999999999
2.501	7.495	0.113	80.0	13.0	526.0	0.0	1.0	6	0.1106004
6.057	8.005	0.318	78.0	26.0	57.0	0.0	0.0	4	0.1226886
1.311	3.29	0.356	91.0	16.0	480.0	1.0	1.0	7	0.1335864
6.946	6.844	0.633	66.0	19.0	213.0	2.0	1.0	7	0.16135839999999999
2.823	5.416	0.447	81.0	44.0	535.0	1.0	1.0	2	0.17953860000000002
5.884	8.438	0.969	66.0	31.0	81.0	3.0	1.0	4	0.1983212
6.612	8.438	0.969	66.0	33.0	81.0	0.0	0.0	4	0.20693099999999998
4.386	9.628	0.945	58.0	23.0	40.0	1.0	1.0	5	0.21694619999999998
4.386	9.628	0.161	48.0	23.0	349.0	1.0	1.0	3	0.2190172
5.695	9.628	0.282	62.0	48.0	349.0	1.0	1.0	3	0.22957619999999998
8.666	8.005	0.52	78.0	26.0	57.0	1.0	0.0	5	0.239458
8.05	3.29	0.79	72.0	18.0	480.0	2.0	0.0	5	0.3269352
3.446	1.035	0.16	50.0	22.0	382.0	1.0	0.0	5	0.33278620000000003
1.623	7.383	0.969	66.0	33.0	65.0	3.0	1.0	4	0.3786122
8.05	3.29	0.784	72.0	18.0	266.0	2.0	0.0	7	0.4951866
