alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
6.171	7.495	0.127	87.0	37.0	23.0	1.0	0.0	7	-0.0
3.035	6.291	0.228	76.0	22.0	557.0	3.0	0.0	1	0.0068352
1.311	4.184	0.606	72.0	25.0	559.0	1.0	0.0	3	0.013725399999999999
2.823	4.811	0.447	81.0	46.0	337.0	1.0	1.0	3	0.028793999999999997
1.311	3.29	0.606	58.0	14.0	480.0	1.0	0.0	7	0.040103
2.823	4.811	0.447	81.0	46.0	337.0	3.0	0.0	2	0.0443422
3.859	1.066	0.102	88.0	14.0	423.0	3.0	0.0	3	0.0467668
1.311	3.29	0.606	72.0	16.0	480.0	1.0	0.0	0	0.0694336
2.01	6.404	0.855	67.0	36.0	566.0	1.0	1.0	4	0.12329380000000001
4.386	9.628	0.161	62.0	23.0	349.0	1.0	1.0	0	0.133297
4.746	4.237	0.127	57.0	37.0	235.0	1.0	0.0	5	0.1727214
5.928	8.623	0.52	78.0	26.0	57.0	2.0	1.0	2	0.180861
3.859	1.066	0.102	88.0	14.0	423.0	3.0	1.0	0	0.186811
1.311	3.29	0.606	72.0	18.0	480.0	2.0	0.0	7	0.18955919999999998
6.171	7.495	0.371	57.0	37.0	23.0	2.0	0.0	1	0.1989572
3.859	1.066	0.102	88.0	14.0	197.0	3.0	1.0	7	0.20484
6.171	7.495	0.371	57.0	31.0	23.0	2.0	0.0	4	0.23899340000000002
1.311	3.29	0.606	58.0	16.0	480.0	1.0	0.0	4	0.25291980000000003
2.363	3.284	0.597	64.0	33.0	512.0	0.0	1.0	7	0.2599944
1.311	5.368	0.606	50.0	25.0	211.0	1.0	0.0	5	0.2665464
1.311	4.184	0.606	72.0	25.0	559.0	1.0	1.0	7	0.2703552
2.01	6.404	0.855	67.0	46.0	566.0	1.0	1.0	7	0.280002
6.612	5.159	0.969	67.0	33.0	81.0	0.0	1.0	1	0.351964
2.363	8.438	0.969	100.0	33.0	81.0	0.0	1.0	4	0.3668024
6.171	7.495	0.127	57.0	37.0	23.0	1.0	0.0	3	0.3998734
