alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.729	6.291	0.228	76.0	22.0	557.0	3.0	1.0	7	0.0039264
4.386	8.666	0.161	80.0	23.0	349.0	1.0	1.0	5	0.012514
1.416	8.438	0.43	14.0	33.0	598.0	0.0	1.0	4	0.038128
2.061	9.265	0.249	87.0	13.0	652.0	1.0	0.0	3	0.047244
7.582	8.005	0.52	78.0	26.0	57.0	0.0	1.0	1	0.06439700000000001
2.385	9.265	0.463	87.0	24.0	604.0	1.0	0.0	6	0.09391619999999999
7.582	7.779	0.253	53.0	26.0	57.0	0.0	1.0	6	0.17665360000000002
9.196	3.924	0.799	62.0	28.0	349.0	1.0	1.0	5	0.1819464
7.582	7.779	0.253	53.0	47.0	57.0	0.0	1.0	7	0.201689
7.582	7.779	0.253	99.0	26.0	57.0	0.0	1.0	5	0.2055698
7.582	9.538	0.858	78.0	26.0	57.0	0.0	0.0	6	0.22082379999999996
2.458	4.65	0.394	44.0	35.0	187.0	3.0	1.0	1	0.225019
8.64	4.348	0.662	60.0	32.0	726.0	0.0	0.0	1	0.2385194
7.53	4.146	0.43	35.0	24.0	245.0	1.0	1.0	4	0.2406084
3.558	4.65	0.394	44.0	37.0	187.0	3.0	1.0	7	0.24934240000000002
5.562	6.291	0.228	76.0	22.0	557.0	3.0	1.0	4	0.29912799999999995
2.385	9.265	0.289	87.0	24.0	604.0	1.0	0.0	3	0.309704
2.659	2.756	0.422	78.0	49.0	57.0	1.0	1.0	5	0.3215724
4.386	9.628	0.161	62.0	23.0	349.0	1.0	1.0	0	0.3219002
6.612	8.438	0.43	49.0	33.0	81.0	0.0	1.0	2	0.3693946
6.803	8.005	0.56	78.0	29.0	34.0	0.0	1.0	2	0.37321780000000004
1.416	8.438	0.43	16.0	33.0	598.0	0.0	1.0	3	0.383408
2.493	9.265	0.249	32.0	25.0	399.0	1.0	1.0	6	0.3919258
3.463	6.902	0.703	67.0	29.0	187.0	2.0	0.0	5	0.4452916
6.171	7.495	0.631	57.0	37.0	264.0	1.0	0.0	3	0.574187
