alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.623	6.907	0.244	34.0	16.0	125.0	1.0	1.0	1	0.0083972
3.911	8.729	0.52	78.0	26.0	57.0	2.0	0.0	4	0.013725399999999999
1.311	1.75	0.753	41.0	44.0	480.0	1.0	1.0	4	0.017033200000000002
1.295	7.421	0.351	9.0	46.0	117.0	2.0	1.0	3	0.0170784
1.311	3.29	0.606	41.0	40.0	480.0	1.0	0.0	2	0.024815
3.911	8.005	0.52	78.0	26.0	57.0	0.0	1.0	0	0.0252836
1.311	3.29	0.606	95.0	40.0	480.0	1.0	0.0	5	0.026728400000000003
1.295	5.167	0.351	9.0	30.0	117.0	2.0	1.0	7	0.03818439999999999
7.974	2.033	0.581	41.0	18.0	476.0	1.0	0.0	0	0.040103
3.911	4.51	0.52	78.0	26.0	57.0	2.0	0.0	6	0.0444384
2.01	5.701	0.686	49.0	19.0	448.0	3.0	1.0	5	0.0683262
2.01	7.957	0.778	87.0	21.0	448.0	1.0	1.0	5	0.0984848
6.738	8.438	0.357	66.0	33.0	211.0	0.0	1.0	6	0.1040646
1.311	4.803	0.606	41.0	40.0	480.0	1.0	1.0	7	0.1100122
2.01	5.701	0.686	49.0	19.0	448.0	2.0	1.0	4	0.1302264
1.295	7.421	0.351	9.0	30.0	117.0	2.0	1.0	2	0.131185
3.911	2.392	0.463	78.0	26.0	57.0	2.0	0.0	7	0.152307
9.514	3.29	0.606	30.0	17.0	587.0	0.0	0.0	6	0.163355
1.623	6.907	0.244	34.0	16.0	193.0	1.0	1.0	6	0.1706396
1.853	4.015	0.463	78.0	26.0	57.0	1.0	1.0	7	0.219943
6.612	8.438	0.357	66.0	33.0	211.0	0.0	1.0	5	0.2602062
3.911	8.729	0.52	78.0	26.0	211.0	2.0	0.0	5	0.2956506
3.911	8.005	0.52	17.0	26.0	57.0	0.0	1.0	6	0.3216478
8.334	9.543	0.161	62.0	23.0	349.0	1.0	1.0	4	0.33886479999999997
9.244	3.075	0.325	28.0	20.0	411.0	3.0	1.0	1	0.42021239999999993
