alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
6.291	5.636	0.356	47.0	11.0	437.0	3.0	0.0	7	0.07177760000000001
1.373	9.549	0.845	37.0	9.0	717.0	2.0	0.0	7	0.08401860000000001
1.571	8.941	0.524	83.0	20.0	723.0	1.0	1.0	7	0.0900394
3.124	8.223	0.344	51.0	45.0	220.0	3.0	1.0	5	0.13084020000000002
5.34	5.205	0.491	26.0	23.0	739.0	3.0	0.0	1	0.1433808
2.221	2.58	0.798	65.0	30.0	201.0	3.0	1.0	2	0.15074720000000003
2.501	2.58	0.798	65.0	30.0	201.0	3.0	1.0	4	0.1520462
2.675	6.681	0.178	24.0	22.0	362.0	3.0	1.0	5	0.153175
3.124	8.223	0.1	48.0	15.0	220.0	3.0	1.0	4	0.21323720000000002
2.221	9.38	0.798	65.0	30.0	591.0	3.0	1.0	7	0.2321736
2.501	2.319	0.462	65.0	30.0	201.0	3.0	1.0	7	0.2453882
3.124	8.223	0.1	48.0	15.0	548.0	3.0	1.0	5	0.2456432
1.373	9.549	0.845	37.0	36.0	717.0	3.0	0.0	6	0.2464352
2.675	6.681	0.19	82.0	22.0	575.0	3.0	1.0	6	0.2522128
6.946	8.223	0.633	66.0	21.0	213.0	3.0	1.0	6	0.26034060000000003
8.062	2.668	0.149	48.0	41.0	505.0	3.0	1.0	7	0.2610234
2.501	2.319	0.798	65.0	30.0	201.0	3.0	1.0	6	0.2611886
3.052	1.549	0.524	28.0	19.0	616.0	3.0	0.0	7	0.2931614
8.345	7.383	0.875	95.0	32.0	494.0	3.0	1.0	5	0.3125834
2.221	2.58	0.798	23.0	30.0	15.0	3.0	1.0	6	0.3133534
2.675	6.681	0.19	13.0	22.0	362.0	3.0	1.0	3	0.3336634
8.952	4.618	0.723	95.0	32.0	724.0	3.0	1.0	5	0.4088712
4.597	1.549	0.524	28.0	19.0	616.0	3.0	0.0	5	0.4271808
1.373	2.491	0.326	52.0	46.0	717.0	1.0	0.0	1	0.43057840000000003
8.062	3.311	0.149	48.0	41.0	505.0	3.0	1.0	4	0.4690264
