alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
8.572	5.256	0.455	69.0	16.0	121.0	3.0	0.0	7	0.008207599999999999
1.617	4.494	0.474	38.0	46.0	505.0	3.0	1.0	2	0.029178
4.712	7.899	0.455	69.0	16.0	121.0	3.0	1.0	2	0.0461362
1.073	9.258	0.387	56.0	35.0	162.0	1.0	1.0	1	0.059788799999999996
1.418	8.692	0.438	50.0	11.0	575.0	3.0	1.0	7	0.0664416
3.505	4.634	0.38	65.0	50.0	735.0	3.0	1.0	5	0.0745984
1.418	8.692	0.438	50.0	14.0	575.0	3.0	1.0	6	0.09700519999999999
2.958	4.494	0.438	38.0	46.0	125.0	3.0	1.0	3	0.1065758
1.78	2.666	0.559	49.0	14.0	21.0	3.0	0.0	4	0.12946359999999998
5.01	1.603	0.577	84.0	26.0	606.0	3.0	1.0	3	0.158437
1.617	4.494	0.474	38.0	11.0	505.0	3.0	1.0	7	0.1630228
4.013	8.02	0.579	69.0	16.0	682.0	3.0	1.0	7	0.19158840000000002
8.505	5.146	0.298	38.0	46.0	505.0	3.0	1.0	6	0.208416
4.712	7.899	0.455	96.0	16.0	121.0	3.0	1.0	7	0.21667620000000004
9.458	2.599	0.845	14.0	46.0	60.0	3.0	1.0	6	0.2377716
8.654	6.365	0.414	46.0	14.0	334.0	3.0	0.0	5	0.2714874
1.165	8.02	0.455	69.0	16.0	682.0	3.0	1.0	3	0.27253819999999995
8.654	6.365	0.265	46.0	14.0	331.0	3.0	0.0	0	0.2742332
2.958	2.469	0.438	38.0	46.0	125.0	3.0	1.0	5	0.2860576
1.78	6.267	0.559	16.0	29.0	21.0	3.0	0.0	6	0.31206180000000006
5.01	1.603	0.577	84.0	26.0	462.0	3.0	1.0	7	0.3155092
5.01	4.01	0.577	84.0	26.0	279.0	3.0	0.0	5	0.3649758
3.505	9.481	0.38	99.0	22.0	735.0	3.0	1.0	4	0.3824186
8.572	8.02	0.455	69.0	16.0	121.0	3.0	0.0	2	0.502657
8.978	2.599	0.845	14.0	46.0	60.0	3.0	1.0	2	0.7958548000000001
