alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.567	1.348	0.523	44.0	13.0	285.0	3.0	0.0	6	0.0061558
2.916	5.445	0.327	70.0	33.0	477.0	3.0	0.0	5	0.0473754
3.635	6.319	0.783	65.0	35.0	269.0	3.0	0.0	4	0.0816754
1.601	8.778	0.361	14.0	13.0	285.0	3.0	1.0	6	0.09751800000000001
1.567	1.348	0.87	70.0	13.0	532.0	3.0	0.0	7	0.1010834
4.6	6.319	0.783	74.0	35.0	153.0	3.0	0.0	6	0.1055518
9.764	9.59	0.459	98.0	13.0	285.0	3.0	1.0	7	0.12079759999999999
1.531	6.679	0.439	47.0	37.0	402.0	3.0	1.0	7	0.1290316
3.635	6.319	0.526	74.0	35.0	153.0	3.0	1.0	6	0.1307584
8.638	9.578	0.438	25.0	17.0	192.0	3.0	0.0	0	0.1313548
1.567	1.348	0.523	44.0	14.0	285.0	3.0	0.0	7	0.1315326
1.567	8.778	0.361	14.0	13.0	285.0	3.0	1.0	4	0.15471759999999998
2.925	1.348	0.87	95.0	13.0	285.0	3.0	0.0	7	0.1587958
1.531	6.679	0.439	79.0	37.0	402.0	3.0	1.0	6	0.161547
8.638	9.578	0.438	25.0	17.0	609.0	3.0	0.0	6	0.169955
1.567	1.348	0.87	95.0	13.0	532.0	3.0	0.0	5	0.1838286
3.635	6.319	0.783	74.0	35.0	153.0	3.0	0.0	2	0.1913052
1.567	1.348	0.87	95.0	13.0	285.0	3.0	0.0	2	0.21887660000000003
1.764	1.911	0.438	93.0	17.0	192.0	3.0	1.0	5	0.2299156
8.638	9.578	0.438	40.0	17.0	192.0	3.0	0.0	5	0.25266500000000003
4.726	8.571	0.327	21.0	30.0	520.0	3.0	0.0	4	0.2692732
1.567	8.778	0.87	44.0	13.0	285.0	3.0	0.0	1	0.31859380000000004
1.764	1.911	0.438	63.0	17.0	192.0	3.0	1.0	7	0.3704092
8.856	6.319	0.526	74.0	35.0	153.0	3.0	0.0	7	0.3875618
1.567	1.348	0.622	44.0	13.0	285.0	3.0	0.0	3	0.451077
