alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.669	4.143	0.671	81.0	36.0	534.0	3.0	0.0	5	-0.0
6.969	7.934	0.91	18.0	42.0	313.0	3.0	1.0	4	0.036005999999999996
9.122	7.47	0.191	90.0	21.0	685.0	3.0	1.0	4	0.0371748
2.914	7.344	0.346	90.0	21.0	685.0	3.0	1.0	0	0.056297799999999995
6.409	7.934	0.91	18.0	42.0	313.0	3.0	1.0	6	0.0765664
1.669	4.143	0.671	81.0	36.0	534.0	3.0	1.0	6	0.10898820000000001
4.426	7.339	0.23	94.0	13.0	153.0	3.0	0.0	5	0.120735
9.65	7.732	0.185	25.0	25.0	88.0	3.0	1.0	6	0.16658900000000001
2.914	7.344	0.509	90.0	21.0	685.0	3.0	1.0	2	0.1756354
3.423	4.143	0.543	57.0	30.0	378.0	3.0	1.0	6	0.1817168
8.063	9.811	0.23	50.0	13.0	153.0	3.0	0.0	6	0.1852222
7.966	6.542	0.194	81.0	25.0	257.0	3.0	1.0	5	0.19017040000000002
2.914	7.344	0.509	90.0	21.0	728.0	3.0	1.0	4	0.1952874
4.996	8.948	0.157	15.0	25.0	153.0	3.0	0.0	6	0.2203248
1.968	6.123	0.385	26.0	30.0	560.0	3.0	1.0	6	0.2307696
4.767	5.051	0.111	77.0	21.0	68.0	3.0	1.0	6	0.2361018
8.063	6.155	0.23	50.0	13.0	153.0	3.0	0.0	4	0.2599298
4.311	4.143	0.543	81.0	25.0	642.0	3.0	1.0	3	0.27219720000000003
4.996	6.155	0.23	20.0	34.0	153.0	3.0	0.0	5	0.2988302
2.914	7.344	0.438	97.0	41.0	685.0	3.0	1.0	6	0.3023974
4.826	6.155	0.338	94.0	25.0	153.0	3.0	1.0	6	0.3196554
8.063	7.453	0.23	50.0	13.0	153.0	3.0	0.0	5	0.323815
5.89	5.186	0.543	81.0	25.0	257.0	3.0	0.0	6	0.329969
3.403	6.123	0.385	66.0	35.0	406.0	2.0	0.0	3	0.3613988
9.122	7.344	0.509	90.0	21.0	685.0	3.0	1.0	3	0.365996
4.826	6.155	0.338	94.0	13.0	153.0	3.0	1.0	5	0.375414
4.311	4.143	0.543	81.0	25.0	257.0	3.0	1.0	1	0.3754366
1.669	4.143	0.543	81.0	25.0	642.0	3.0	1.0	4	0.46969779999999994
2.183	3.77	0.155	98.0	16.0	364.0	2.0	0.0	3	0.5362698
1.025	3.77	0.474	98.0	6.0	364.0	2.0	0.0	5	0.5639192
8.134	6.693	0.543	45.0	14.0	642.0	3.0	1.0	6	0.5972912
2.914	7.344	0.509	90.0	41.0	685.0	3.0	0.0	6	0.6045512000000001
