alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.179	6.437	0.51	23.0	19.0	315.0	3.0	0.0	1	-0.0
1.179	6.437	0.407	23.0	19.0	315.0	3.0	0.0	2	0.0039264
4.531	2.016	0.654	74.0	21.0	314.0	3.0	1.0	6	0.050393
1.179	6.437	0.51	23.0	19.0	315.0	3.0	1.0	5	0.053925
6.67	7.826	0.469	89.0	34.0	349.0	3.0	0.0	1	0.11717740000000001
3.57	7.826	0.469	89.0	8.0	349.0	3.0	0.0	3	0.1467128
3.211	8.377	0.882	73.0	27.0	62.0	3.0	0.0	4	0.14826
4.531	4.65	0.654	74.0	21.0	314.0	3.0	1.0	5	0.15130280000000002
2.577	5.872	0.263	19.0	26.0	99.0	3.0	0.0	4	0.1726286
5.689	7.826	0.469	89.0	34.0	349.0	3.0	0.0	5	0.174295
4.183	5.872	0.263	19.0	26.0	291.0	3.0	1.0	5	0.1841762
6.67	7.826	0.364	34.0	38.0	332.0	3.0	1.0	3	0.18592619999999999
6.67	7.826	0.469	89.0	34.0	349.0	3.0	1.0	6	0.1966696
6.67	7.826	0.364	89.0	38.0	332.0	3.0	1.0	2	0.21476919999999997
7.965	1.307	0.569	59.0	29.0	363.0	3.0	0.0	0	0.21563400000000002
7.706	4.559	0.279	67.0	45.0	546.0	3.0	0.0	2	0.2167794
1.179	3.118	0.51	91.0	27.0	315.0	3.0	1.0	4	0.246875
7.423	6.437	0.407	23.0	19.0	269.0	3.0	0.0	4	0.24713500000000002
7.706	2.253	0.279	67.0	45.0	536.0	3.0	0.0	4	0.2547004
2.577	7.587	0.263	19.0	26.0	99.0	3.0	0.0	6	0.2683952
6.418	7.826	0.469	89.0	8.0	349.0	3.0	0.0	2	0.28277640000000004
2.577	5.872	0.263	19.0	26.0	291.0	3.0	1.0	3	0.28666139999999996
3.44	8.377	0.206	53.0	27.0	62.0	2.0	0.0	3	0.32831479999999996
5.289	6.437	0.407	23.0	21.0	314.0	3.0	0.0	4	0.3390234
6.67	7.826	0.469	89.0	8.0	349.0	3.0	0.0	0	0.3661836
1.351	8.864	0.625	25.0	43.0	445.0	2.0	1.0	0	0.39025619999999994
4.183	5.872	0.263	19.0	26.0	713.0	3.0	1.0	6	0.41192019999999996
6.418	3.714	0.469	86.0	47.0	349.0	3.0	0.0	4	0.7161869999999999
3.695	9.322	0.569	47.0	7.0	22.0	3.0	0.0	6	0.8802184000000001
