alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
9.385	9.194	0.18	90.0	42.0	121.0	3.0	1.0	5	0.0104244
1.509	4.818	0.706	45.0	15.0	231.0	2.0	0.0	0	0.0288192
2.522	8.646	0.125	48.0	23.0	717.0	3.0	1.0	4	0.030542800000000002
4.261	4.935	0.73	6.0	39.0	109.0	3.0	1.0	3	0.0341418
8.577	9.194	0.18	90.0	17.0	121.0	3.0	1.0	4	0.044012
9.385	9.194	0.18	90.0	17.0	121.0	3.0	1.0	2	0.045955800000000005
8.577	5.856	0.129	90.0	9.0	481.0	3.0	1.0	5	0.0519064
4.895	8.374	0.799	99.0	48.0	426.0	3.0	1.0	3	0.052904799999999995
3.744	7.301	0.396	51.0	42.0	385.0	3.0	1.0	2	0.0547352
9.385	9.194	0.18	90.0	25.0	121.0	3.0	1.0	5	0.0563156
9.385	9.194	0.18	90.0	34.0	121.0	3.0	1.0	3	0.070494
5.686	4.935	0.794	80.0	36.0	109.0	3.0	1.0	1	0.09766559999999999
2.522	8.646	0.125	51.0	23.0	96.0	3.0	1.0	5	0.1040562
4.895	8.374	0.653	99.0	48.0	426.0	3.0	1.0	4	0.10704820000000001
3.744	7.301	0.396	57.0	42.0	385.0	3.0	1.0	3	0.1244734
2.522	8.646	0.125	51.0	23.0	717.0	3.0	1.0	0	0.13160739999999999
6.751	9.555	0.125	48.0	24.0	717.0	3.0	1.0	5	0.18492579999999997
8.527	1.867	0.794	80.0	33.0	109.0	3.0	0.0	3	0.1867754
5.686	4.935	0.73	80.0	36.0	109.0	3.0	1.0	0	0.1901056
1.509	4.902	0.572	45.0	15.0	231.0	2.0	0.0	4	0.1975568
3.744	3.506	0.396	51.0	42.0	385.0	3.0	1.0	4	0.2033198
2.954	1.287	0.335	89.0	26.0	383.0	3.0	1.0	2	0.20808999999999997
5.26	7.584	0.945	67.0	47.0	571.0	3.0	1.0	4	0.21048740000000002
8.194	4.935	0.73	49.0	36.0	109.0	3.0	1.0	4	0.2178076
7.677	3.186	0.114	95.0	33.0	556.0	3.0	1.0	5	0.2332402
6.802	6.172	0.657	90.0	45.0	336.0	3.0	1.0	5	0.251428
7.068	4.089	0.318	87.0	36.0	64.0	3.0	1.0	5	0.266136
3.744	7.301	0.396	57.0	35.0	385.0	3.0	1.0	5	0.27389
6.884	1.287	0.428	89.0	30.0	383.0	3.0	1.0	4	0.2869296
4.201	5.084	0.291	89.0	29.0	514.0	2.0	1.0	2	0.2898276
2.954	1.287	0.525	86.0	22.0	383.0	3.0	0.0	5	0.31267860000000003
5.26	7.584	0.945	67.0	43.0	571.0	3.0	1.0	5	0.316343
7.677	3.186	0.114	76.0	33.0	556.0	3.0	1.0	4	0.3341456
8.777	4.154	0.688	17.0	38.0	643.0	3.0	0.0	1	0.347236
1.509	4.818	0.706	45.0	15.0	231.0	2.0	1.0	3	0.492823
9.289	3.89	0.396	50.0	42.0	385.0	3.0	1.0	5	0.501297
4.201	5.084	0.924	89.0	29.0	514.0	3.0	1.0	5	0.5154884
3.744	4.052	0.396	51.0	42.0	385.0	3.0	1.0	5	0.5240128000000001
9.573	1.287	0.335	10.0	26.0	383.0	3.0	0.0	0	0.8209042
