alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.985	6.314	0.733	87.0	42.0	318.0	3.0	1.0	18	-0.0
1.165	3.942	0.532	97.0	41.0	410.0	3.0	1.0	14	0.059070599999999994
1.165	3.888	0.328	49.0	18.0	410.0	3.0	1.0	16	0.07431560000000001
2.349	6.314	0.733	84.0	24.0	318.0	3.0	1.0	16	0.0840188
1.165	3.888	0.615	49.0	39.0	410.0	3.0	1.0	17	0.0902082
1.165	3.942	0.532	36.0	41.0	410.0	3.0	1.0	13	0.12379500000000002
2.349	9.125	0.733	84.0	24.0	329.0	3.0	0.0	18	0.14611760000000001
1.926	6.314	0.733	87.0	42.0	318.0	3.0	1.0	8	0.177367
1.926	7.395	0.733	87.0	42.0	318.0	3.0	1.0	7	0.1826286
5.475	7.395	0.733	88.0	18.0	318.0	3.0	0.0	17	0.1987418
1.587	2.168	0.487	66.0	41.0	410.0	3.0	0.0	17	0.2605846
