alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
5.822	8.136	0.194	68.0	6.0	49.0	3.0	0.0	5	-0.0
3.752	9.88	0.684	85.0	32.0	14.0	3.0	1.0	10	0.1333152
3.752	9.88	0.701	81.0	26.0	352.0	3.0	1.0	6	0.1447978
2.49	9.688	0.509	20.0	40.0	97.0	3.0	0.0	7	0.1611144
3.752	9.88	0.344	81.0	26.0	457.0	3.0	1.0	7	0.18898800000000002
2.49	9.688	0.261	20.0	34.0	97.0	3.0	0.0	10	0.21434720000000002
3.752	9.88	0.684	38.0	32.0	352.0	3.0	1.0	9	0.227852
2.49	9.688	0.61	20.0	34.0	97.0	3.0	0.0	3	0.2382386
3.752	9.88	0.658	81.0	26.0	352.0	3.0	1.0	13	0.2447606
5.822	7.974	0.194	33.0	34.0	49.0	3.0	1.0	11	0.2524148
5.822	5.685	0.194	68.0	16.0	49.0	3.0	1.0	14	0.25788479999999997
3.752	9.88	0.701	81.0	26.0	691.0	3.0	1.0	10	0.26376520000000003
5.822	8.136	0.194	68.0	45.0	49.0	3.0	0.0	9	0.3846858
1.106	9.132	0.962	76.0	41.0	745.0	2.0	0.0	7	0.5166752
