alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
8.945	7.234	0.56	90.0	12.0	129.0	3.0	0.0	9	-0.0
1.997	8.455	0.165	37.0	12.0	129.0	3.0	0.0	9	0.027794000000000003
1.677	7.651	0.523	74.0	47.0	376.0	3.0	1.0	7	0.0360962
4.394	1.702	0.62	63.0	19.0	184.0	3.0	0.0	7	0.060150999999999996
3.558	4.71	0.265	63.0	31.0	71.0	3.0	0.0	9	0.0647336
3.558	1.702	0.265	63.0	31.0	71.0	3.0	0.0	8	0.0777858
3.558	2.531	0.131	63.0	36.0	71.0	3.0	1.0	6	0.0812218
3.793	5.556	0.619	63.0	19.0	137.0	3.0	0.0	6	0.08255680000000001
1.677	1.145	0.523	74.0	47.0	376.0	3.0	1.0	4	0.0982446
5.21	2.531	0.131	63.0	36.0	46.0	3.0	1.0	8	0.10675939999999999
3.558	2.531	0.131	63.0	36.0	46.0	3.0	1.0	7	0.1736018
1.997	8.455	0.434	37.0	12.0	129.0	3.0	0.0	2	0.1743806
7.045	8.455	0.56	32.0	12.0	129.0	3.0	0.0	2	0.1861516
5.82	9.002	0.967	55.0	41.0	13.0	3.0	0.0	9	0.19132480000000002
5.82	5.369	0.967	55.0	7.0	13.0	3.0	0.0	7	0.2265358
1.997	8.455	0.931	37.0	12.0	129.0	3.0	0.0	3	0.2332128
1.677	5.222	0.422	74.0	47.0	29.0	3.0	0.0	7	0.239534
3.733	2.531	0.131	63.0	36.0	46.0	3.0	1.0	9	0.24325999999999998
1.677	9.751	0.523	74.0	47.0	29.0	3.0	0.0	2	0.2767132
1.997	8.455	0.434	37.0	19.0	129.0	3.0	0.0	7	0.27832120000000005
1.677	1.145	0.523	74.0	13.0	376.0	3.0	1.0	9	0.2849202
1.568	2.531	0.131	63.0	36.0	71.0	3.0	0.0	9	0.9135652000000001
