alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.374	5.096	0.491	91.0	33.0	97.0	3.0	0.0	11	0.0242154
4.068	5.096	0.491	75.0	33.0	55.0	3.0	1.0	15	0.0452712
3.374	5.096	0.491	75.0	33.0	55.0	3.0	1.0	6	0.0953946
3.374	1.645	0.727	75.0	41.0	55.0	3.0	1.0	14	0.09757940000000001
3.374	5.096	0.491	91.0	33.0	55.0	3.0	0.0	3	0.1083068
3.813	7.491	0.685	45.0	18.0	338.0	3.0	1.0	2	0.11452339999999998
3.813	7.491	0.442	94.0	18.0	338.0	3.0	1.0	10	0.1188056
3.374	5.096	0.491	97.0	25.0	254.0	3.0	0.0	15	0.1346078
3.813	7.491	0.442	45.0	18.0	338.0	3.0	1.0	6	0.1482016
3.813	7.491	0.442	94.0	18.0	338.0	3.0	0.0	15	0.23306719999999997
4.532	7.491	0.442	73.0	18.0	445.0	3.0	1.0	16	0.2349656
3.374	4.826	0.727	75.0	40.0	55.0	3.0	1.0	5	0.23626619999999998
