alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.175	5.109	0.649	66.0	24.0	77.0	2.0	1.0	6	0.0110058
3.175	8.847	0.786	66.0	40.0	667.0	3.0	1.0	3	0.0153686
1.937	7.807	0.207	43.0	12.0	292.0	3.0	0.0	6	0.0166148
8.945	9.861	0.841	57.0	26.0	325.0	3.0	0.0	5	0.0297054
1.568	9.811	0.686	52.0	18.0	497.0	1.0	1.0	1	0.0490196
8.22	9.21	0.776	52.0	37.0	126.0	3.0	1.0	4	0.054161400000000005
5.419	9.346	0.221	78.0	6.0	24.0	3.0	0.0	0	0.0624258
1.897	4.109	0.808	79.0	40.0	356.0	3.0	0.0	6	0.0628232
1.937	7.807	0.207	91.0	12.0	292.0	3.0	0.0	3	0.0754596
1.937	1.461	0.207	54.0	12.0	644.0	3.0	0.0	7	0.1116762
3.607	7.308	0.15	76.0	16.0	118.0	3.0	0.0	4	0.12217319999999998
1.589	9.861	0.841	96.0	26.0	325.0	3.0	0.0	4	0.1343992
4.472	9.482	0.304	64.0	42.0	285.0	3.0	0.0	6	0.13459480000000001
5.419	9.346	0.221	78.0	6.0	24.0	1.0	0.0	7	0.1426608
9.787	9.962	0.528	96.0	29.0	142.0	3.0	0.0	4	0.1551276
1.937	7.807	0.352	42.0	12.0	292.0	3.0	0.0	7	0.1655658
8.886	4.872	0.207	91.0	19.0	292.0	3.0	1.0	7	0.19078499999999998
6.176	4.786	0.317	88.0	16.0	285.0	3.0	0.0	6	0.2016446
4.472	4.786	0.304	64.0	42.0	285.0	3.0	0.0	0	0.2552432
3.607	7.308	0.15	65.0	16.0	118.0	3.0	0.0	5	0.26207900000000006
3.689	7.807	0.207	91.0	19.0	292.0	3.0	0.0	6	0.27556020000000003
8.22	9.21	0.776	50.0	37.0	126.0	3.0	1.0	2	0.2792416
4.472	4.786	0.317	88.0	16.0	285.0	3.0	0.0	5	0.2933682
4.463	9.21	0.776	52.0	37.0	126.0	3.0	1.0	7	0.3276848
8.886	7.807	0.207	91.0	19.0	292.0	3.0	0.0	5	0.34160240000000003
8.672	7.807	0.67	91.0	12.0	463.0	3.0	1.0	0	0.35602999999999996
6.176	4.786	0.242	88.0	16.0	285.0	3.0	0.0	7	0.3728974
8.945	9.861	0.841	96.0	26.0	325.0	3.0	0.0	2	0.3878338
