alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
7.261	1.673	0.838	90.0	35.0	92.0	3.0	0.0	11	0.0002334
6.447	9.585	0.699	44.0	10.0	633.0	3.0	0.0	0	0.0008168
1.428	4.941	0.647	89.0	11.0	353.0	3.0	0.0	8	0.0104522
2.075	6.556	0.602	90.0	49.0	92.0	3.0	1.0	9	0.034603800000000004
4.734	3.274	0.905	98.0	31.0	62.0	3.0	0.0	7	0.051968799999999996
4.965	6.024	0.838	90.0	49.0	92.0	3.0	0.0	9	0.0630158
7.261	2.282	0.838	90.0	49.0	92.0	3.0	1.0	3	0.0964356
8.983	1.333	0.125	69.0	44.0	294.0	3.0	1.0	2	0.10719780000000001
2.075	6.615	0.123	65.0	49.0	410.0	3.0	0.0	11	0.11820919999999999
1.428	4.941	0.647	89.0	11.0	353.0	3.0	1.0	10	0.13797979999999999
5.803	5.616	0.454	93.0	14.0	161.0	3.0	0.0	0	0.16581079999999998
3.217	3.274	0.905	98.0	31.0	62.0	3.0	0.0	9	0.2543174
1.428	6.907	0.647	89.0	11.0	353.0	3.0	0.0	11	0.33236600000000005
9.635	1.333	0.654	68.0	44.0	294.0	3.0	1.0	9	0.34864639999999997
9.635	1.333	0.555	68.0	44.0	294.0	3.0	1.0	11	0.4186658
3.015	5.616	0.173	64.0	14.0	161.0	3.0	0.0	7	0.4791784
8.783	3.274	0.905	78.0	46.0	345.0	3.0	0.0	2	0.499737
