alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
7.034	2.052	0.275	42.0	30.0	14.0	3.0	0.0	6	0.0322808
4.721	7.091	0.543	73.0	37.0	497.0	3.0	1.0	3	0.0601544
1.154	1.969	0.513	60.0	28.0	102.0	2.0	0.0	7	0.0682646
8.775	8.592	0.459	86.0	47.0	73.0	3.0	1.0	7	0.06923399999999999
2.157	4.619	0.795	82.0	24.0	458.0	3.0	1.0	1	0.0715028
1.154	1.969	0.393	60.0	28.0	102.0	2.0	0.0	0	0.0796864
8.052	7.945	0.888	86.0	27.0	73.0	3.0	0.0	6	0.15254439999999997
4.317	4.681	0.597	54.0	22.0	19.0	3.0	1.0	7	0.16582619999999998
4.317	4.681	0.597	14.0	22.0	19.0	3.0	1.0	6	0.168732
2.157	4.889	0.795	82.0	24.0	280.0	3.0	1.0	3	0.174793
2.157	5.964	0.795	82.0	16.0	280.0	3.0	1.0	7	0.1776414
2.157	4.889	0.795	82.0	27.0	458.0	3.0	1.0	5	0.178584
4.259	7.291	0.543	73.0	33.0	497.0	3.0	1.0	0	0.18551020000000001
3.881	6.897	0.331	26.0	13.0	724.0	3.0	0.0	4	0.1872764
7.034	8.987	0.275	42.0	30.0	14.0	3.0	0.0	3	0.19877219999999998
2.157	3.669	0.795	82.0	16.0	551.0	3.0	0.0	4	0.2381022
8.775	7.945	0.459	86.0	47.0	73.0	3.0	0.0	5	0.238491
4.259	7.291	0.543	73.0	33.0	170.0	3.0	1.0	4	0.26158200000000004
8.775	7.945	0.459	86.0	47.0	73.0	3.0	1.0	6	0.2623044
7.034	8.202	0.275	42.0	30.0	14.0	3.0	0.0	7	0.2955272
2.157	4.595	0.141	82.0	27.0	458.0	3.0	1.0	6	0.30328140000000003
8.099	8.987	0.275	27.0	30.0	14.0	3.0	0.0	3	0.30926860000000006
2.936	7.945	0.459	29.0	42.0	73.0	3.0	0.0	4	0.3131284
8.052	1.509	0.459	86.0	45.0	73.0	3.0	0.0	6	0.3455594
2.157	3.669	0.874	82.0	16.0	303.0	3.0	0.0	7	0.425356
2.936	7.945	0.459	29.0	31.0	73.0	3.0	0.0	6	0.45071300000000003
