alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
3.58	8.568	0.34	97.0	48.0	356.0	3.0	0.0	14	0.015606599999999998
2.873	8.309	0.932	74.0	38.0	356.0	3.0	1.0	15	0.0280534
2.601	7.381	0.121	85.0	15.0	285.0	3.0	0.0	15	0.029653600000000002
1.944	6.509	0.121	85.0	15.0	285.0	3.0	1.0	14	0.06458539999999999
3.188	8.216	0.278	57.0	12.0	285.0	3.0	1.0	14	0.0774818
8.217	8.049	0.34	71.0	14.0	26.0	3.0	1.0	8	0.078263
1.406	2.858	0.34	71.0	48.0	666.0	3.0	1.0	14	0.0804566
3.188	6.509	0.278	85.0	15.0	222.0	3.0	1.0	9	0.089811
3.188	6.865	0.278	85.0	15.0	285.0	3.0	1.0	10	0.1683532
3.188	8.216	0.278	57.0	40.0	285.0	3.0	1.0	15	0.169983
2.873	8.309	0.34	74.0	38.0	356.0	3.0	1.0	12	0.184094
9.028	8.703	0.671	60.0	27.0	285.0	3.0	1.0	14	0.185567
3.188	6.509	0.278	85.0	15.0	285.0	3.0	1.0	8	0.245871
