alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.312	8.902	0.318	92.0	26.0	598.0	3.0	1.0	7	-0.0
2.237	7.959	0.232	80.0	16.0	461.0	3.0	1.0	8	0.02733
2.312	8.902	0.318	72.0	26.0	598.0	3.0	1.0	11	0.0274506
3.44	4.15	0.874	92.0	13.0	500.0	3.0	1.0	11	0.044516999999999994
6.662	4.15	0.318	92.0	13.0	500.0	3.0	1.0	6	0.056972999999999996
2.312	3.476	0.726	92.0	24.0	344.0	3.0	1.0	11	0.063631
2.312	8.902	0.318	62.0	26.0	598.0	3.0	1.0	9	0.07626859999999999
2.312	5.455	0.318	92.0	26.0	598.0	3.0	1.0	6	0.0775106
2.048	4.976	0.338	80.0	27.0	165.0	3.0	1.0	11	0.07794599999999999
2.237	6.81	0.232	80.0	16.0	461.0	3.0	1.0	9	0.1342634
6.662	4.15	0.318	92.0	26.0	566.0	3.0	1.0	6	0.22148099999999998
2.237	7.959	0.232	84.0	16.0	461.0	3.0	1.0	10	0.2216744
9.123	3.56	0.548	24.0	22.0	439.0	3.0	1.0	6	0.2651308
6.662	4.15	0.318	92.0	9.0	575.0	3.0	1.0	7	0.26856800000000003
5.204	5.853	0.613	24.0	22.0	439.0	3.0	1.0	9	0.3064228
2.237	1.246	0.232	80.0	16.0	461.0	3.0	1.0	6	0.3179748
8.255	5.455	0.643	98.0	27.0	167.0	3.0	1.0	11	0.3876622
7.265	8.555	0.569	11.0	27.0	122.0	3.0	1.0	11	0.46090400000000004
