alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
9.75	9.959	0.914	89.0	10.0	82.0	3.0	0.0	19	0.0061558
1.951	6.471	0.954	98.0	10.0	658.0	3.0	1.0	11	0.022483200000000002
6.276	9.959	0.914	89.0	10.0	82.0	3.0	0.0	12	0.0390192
7.778	8.808	0.299	89.0	21.0	82.0	3.0	1.0	14	0.0405632
5.767	8.172	0.127	42.0	10.0	146.0	3.0	0.0	19	0.046256
1.094	6.172	0.259	38.0	36.0	367.0	3.0	0.0	8	0.0954426
3.261	9.084	0.936	66.0	10.0	146.0	3.0	0.0	16	0.1230286
6.276	9.959	0.635	89.0	10.0	82.0	3.0	1.0	6	0.1848264
7.778	8.808	0.299	89.0	44.0	82.0	3.0	0.0	19	0.253857
6.276	9.959	0.914	89.0	32.0	467.0	3.0	0.0	16	0.27092459999999996
