alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
2.148	7.67	0.304	100.0	45.0	497.0	3.0	1.0	6	0.013725399999999999
2.958	9.743	0.438	56.0	21.0	125.0	3.0	1.0	6	0.035815200000000005
3.251	7.664	0.527	72.0	31.0	559.0	3.0	0.0	3	0.043968600000000004
1.617	8.344	0.676	87.0	13.0	225.0	3.0	0.0	6	0.0591744
2.148	7.67	0.304	77.0	45.0	497.0	3.0	1.0	4	0.0632672
1.311	1.48	0.778	93.0	11.0	713.0	3.0	1.0	6	0.0805618
2.627	2.666	0.857	59.0	10.0	21.0	3.0	1.0	6	0.0917168
2.776	8.745	0.548	29.0	43.0	570.0	3.0	1.0	2	0.10317799999999999
2.116	4.553	0.61	39.0	40.0	421.0	3.0	1.0	5	0.1056288
2.627	2.666	0.857	59.0	10.0	21.0	3.0	0.0	5	0.10662160000000001
7.87	7.664	0.527	72.0	31.0	559.0	3.0	0.0	5	0.120632
2.657	4.189	0.107	53.0	26.0	302.0	3.0	1.0	5	0.124274
2.148	3.901	0.759	77.0	48.0	464.0	3.0	1.0	6	0.1583472
1.572	3.355	0.527	72.0	20.0	559.0	3.0	1.0	6	0.1602636
2.148	2.145	0.304	77.0	35.0	383.0	3.0	1.0	4	0.1898832
1.744	3.822	0.358	58.0	49.0	561.0	3.0	1.0	6	0.1936578
6.411	9.743	0.396	56.0	21.0	327.0	3.0	1.0	3	0.2140898
2.148	7.696	0.785	77.0	35.0	213.0	2.0	1.0	4	0.2159904
2.218	8.745	0.548	29.0	43.0	421.0	3.0	1.0	5	0.2274718
1.572	7.024	0.527	72.0	20.0	559.0	3.0	1.0	5	0.23077360000000002
2.116	3.422	0.61	39.0	40.0	421.0	3.0	1.0	3	0.25313280000000005
1.787	7.16	0.107	39.0	40.0	511.0	3.0	1.0	4	0.298904
5.1	5.162	0.358	31.0	14.0	173.0	3.0	0.0	4	0.3166982
6.22	8.344	0.676	87.0	13.0	225.0	3.0	0.0	4	0.3286356
1.744	3.822	0.358	58.0	49.0	561.0	3.0	0.0	3	0.34847599999999995
2.148	7.67	0.304	77.0	35.0	497.0	3.0	0.0	5	0.3567268
9.275	9.577	0.659	58.0	27.0	99.0	3.0	0.0	6	0.3617264
4.588	9.577	0.659	58.0	27.0	99.0	3.0	0.0	4	0.38367660000000003
3.251	4.633	0.527	72.0	31.0	559.0	3.0	0.0	1	0.4008348
9.563	7.16	0.107	46.0	40.0	302.0	3.0	1.0	0	0.4022194
3.254	5.162	0.358	31.0	41.0	173.0	3.0	0.0	6	0.4262776
2.363	2.623	0.215	95.0	9.0	52.0	2.0	0.0	1	0.4366828
2.776	8.745	0.639	29.0	27.0	421.0	3.0	1.0	6	0.4747324
