alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.315	2.849	0.467	24.0	36.0	51.0	3.0	1.0	4	0.036355
1.386	2.849	0.46	24.0	29.0	672.0	3.0	0.0	3	0.0458086
6.37	8.872	0.204	72.0	39.0	142.0	3.0	1.0	4	0.0520994
4.541	4.107	0.117	6.0	49.0	685.0	3.0	1.0	5	0.05296379999999999
4.021	8.029	0.728	80.0	35.0	35.0	2.0	0.0	1	0.0563916
8.137	5.418	0.187	50.0	46.0	501.0	2.0	1.0	0	0.057068600000000004
1.315	2.849	0.467	24.0	36.0	51.0	3.0	0.0	5	0.068098
6.729	2.849	0.46	24.0	29.0	671.0	3.0	1.0	5	0.07680699999999999
1.386	2.849	0.467	24.0	22.0	695.0	3.0	1.0	1	0.09352959999999999
3.042	6.969	0.491	94.0	19.0	614.0	3.0	0.0	3	0.0954016
5.422	2.527	0.117	20.0	49.0	555.0	3.0	1.0	5	0.0980392
8.795	5.821	0.923	25.0	26.0	6.0	3.0	0.0	2	0.099693
6.37	6.351	0.204	72.0	39.0	142.0	3.0	1.0	2	0.10493939999999999
6.37	8.878	0.204	72.0	39.0	142.0	3.0	1.0	1	0.1211478
8.426	6.969	0.663	94.0	19.0	163.0	3.0	0.0	1	0.12329380000000001
6.37	8.878	0.859	72.0	39.0	142.0	3.0	1.0	0	0.12466000000000002
1.386	5.623	0.617	34.0	22.0	695.0	3.0	1.0	5	0.1466194
1.386	7.055	0.643	94.0	22.0	695.0	3.0	1.0	4	0.1507692
6.751	4.174	0.117	20.0	49.0	747.0	3.0	1.0	4	0.1530868
6.37	6.351	0.204	72.0	39.0	644.0	3.0	1.0	5	0.180424
2.639	3.751	0.253	80.0	17.0	301.0	3.0	1.0	5	0.18917460000000003
6.498	8.029	0.728	80.0	35.0	35.0	3.0	0.0	3	0.19131800000000002
5.784	8.253	0.957	75.0	27.0	295.0	3.0	1.0	3	0.1985198
6.491	7.648	0.849	38.0	36.0	378.0	3.0	0.0	2	0.2076132
3.042	6.969	0.663	94.0	46.0	614.0	3.0	0.0	5	0.233412
6.491	8.11	0.867	99.0	36.0	734.0	3.0	1.0	5	0.23592019999999997
4.021	8.029	0.728	97.0	35.0	35.0	2.0	0.0	3	0.24546980000000002
6.498	8.029	0.187	80.0	35.0	35.0	3.0	0.0	5	0.2823338
3.042	5.89	0.756	94.0	19.0	614.0	3.0	0.0	5	0.3117836
2.639	1.874	0.253	80.0	17.0	301.0	3.0	1.0	4	0.3154314
5.784	8.253	0.957	75.0	27.0	184.0	3.0	1.0	1	0.3234914
6.491	7.648	0.849	38.0	36.0	378.0	3.0	1.0	5	0.3266684
4.541	4.107	0.117	20.0	49.0	747.0	3.0	1.0	0	0.33716599999999997
4.541	4.174	0.117	20.0	49.0	747.0	3.0	1.0	1	0.33877
1.315	2.849	0.467	58.0	22.0	51.0	3.0	1.0	5	0.3642978
3.042	6.969	0.756	94.0	19.0	614.0	3.0	0.0	4	0.5085922
3.56	1.874	0.227	80.0	42.0	301.0	3.0	0.0	4	0.5140502
4.541	2.527	0.117	20.0	49.0	555.0	3.0	1.0	3	0.732804
