alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
1.251	4.244	0.314	32.0	11.0	173.0	3.0	1.0	7	0.0002334
1.251	4.244	0.939	43.0	11.0	173.0	3.0	1.0	6	0.0039264
3.491	5.617	0.535	93.0	24.0	126.0	3.0	1.0	5	0.016258
5.923	8.767	0.348	80.0	10.0	49.0	3.0	0.0	6	0.0276784
5.923	8.767	0.348	80.0	10.0	49.0	3.0	1.0	4	0.0348782
5.923	5.275	0.348	94.0	10.0	49.0	3.0	1.0	7	0.058172
9.246	7.234	0.478	90.0	24.0	716.0	3.0	1.0	5	0.1086776
2.072	2.067	0.535	93.0	49.0	680.0	3.0	1.0	6	0.10995360000000001
3.749	3.144	0.453	52.0	20.0	267.0	3.0	1.0	0	0.1274158
2.007	6.077	0.25	38.0	24.0	196.0	3.0	0.0	8	0.1427948
1.251	4.244	0.432	43.0	11.0	173.0	3.0	1.0	4	0.19519860000000003
8.958	2.818	0.351	99.0	47.0	399.0	3.0	1.0	3	0.1961366
5.923	5.275	0.348	80.0	10.0	49.0	3.0	1.0	5	0.1968094
1.251	7.543	0.432	43.0	11.0	173.0	3.0	1.0	5	0.2020944
9.246	2.788	0.518	93.0	11.0	567.0	3.0	1.0	8	0.21333700000000003
3.749	9.649	0.453	52.0	10.0	267.0	3.0	1.0	7	0.2237034
5.923	8.767	0.348	25.0	10.0	49.0	3.0	1.0	7	0.3031752
3.887	6.077	0.25	38.0	45.0	310.0	3.0	0.0	7	0.34282060000000003
2.007	6.67	0.25	38.0	17.0	196.0	3.0	1.0	0	0.3574868
2.007	6.077	0.25	38.0	45.0	196.0	3.0	0.0	1	0.35996360000000005
9.246	2.788	0.78	71.0	24.0	567.0	3.0	1.0	1	0.38532679999999997
9.246	2.788	0.518	93.0	24.0	567.0	3.0	1.0	3	0.4148054
4.654	3.717	0.988	48.0	32.0	323.0	3.0	1.0	1	0.6131422
