alpha	beta	rho	ants	nnls	elitistants	localsearch	dlb	Step_Found	VALUE
4.936	1.189	0.171	92.0	17.0	120.0	3.0	0.0	7	0.022908400000000002
1.568	2.747	0.463	97.0	37.0	129.0	3.0	1.0	9	0.028309400000000002
1.568	8.394	0.323	53.0	21.0	499.0	3.0	0.0	11	0.05632859999999999
1.568	2.747	0.323	97.0	37.0	129.0	3.0	1.0	7	0.0809034
1.568	1.254	0.245	44.0	13.0	129.0	3.0	0.0	8	0.1244464
1.568	3.961	0.323	18.0	21.0	129.0	3.0	0.0	8	0.1255222
1.568	5.546	0.528	33.0	21.0	380.0	3.0	1.0	9	0.13515780000000002
1.568	2.747	0.56	46.0	35.0	129.0	3.0	1.0	9	0.1531494
1.568	3.961	0.323	82.0	21.0	187.0	3.0	1.0	7	0.16099560000000002
1.568	8.394	0.323	44.0	21.0	499.0	3.0	0.0	5	0.1979186
1.568	5.546	0.476	77.0	21.0	380.0	3.0	1.0	11	0.2046328
1.378	3.132	0.469	63.0	8.0	233.0	3.0	0.0	3	0.20656400000000003
4.936	4.985	0.171	92.0	31.0	119.0	3.0	0.0	6	0.2126836
3.128	3.961	0.323	33.0	21.0	129.0	3.0	1.0	4	0.213231
1.568	3.961	0.245	53.0	21.0	599.0	3.0	1.0	5	0.265022
2.874	8.141	0.245	58.0	13.0	129.0	3.0	0.0	9	0.43107059999999997
1.568	1.183	0.323	97.0	37.0	657.0	3.0	1.0	6	0.511168
9.684	7.867	0.692	44.0	21.0	499.0	3.0	1.0	10	0.5443116
