p_c	p_m	N	c_0	Step_Found	VALUE
0.305	0.571	47.0	1.0	2	26.2
0.003	0.118	38.0	2.0	11	32.4
0.091	0.921	50.0	1.0	12	34.0
0.075	0.118	38.0	1.0	8	36.8
0.567	0.446	6.0	2.0	8	38.2
0.855	0.223	32.0	2.0	1	40.8
0.366	0.649	46.0	1.0	7	43.8
0.327	0.816	13.0	2.0	3	70.0
0.133	0.533	45.0	1.0	9	70.8
0.754	0.074	37.0	2.0	13	108.8
0.567	0.446	5.0	2.0	6	112.4
0.592	0.446	22.0	2.0	4	116.0
0.592	0.074	32.0	2.0	8	129.8
0.518	0.447	12.0	2.0	2	139.6
0.003	0.118	38.0	1.0	3	144.2
