p_c	p_m	N	c_0	Step_Found	VALUE
0.286	0.422	36.0	2.0	9	24.6
0.839	0.954	31.0	1.0	10	26.4
0.247	0.46	8.0	1.0	11	34.2
0.102	0.54	41.0	2.0	10	48.2
0.117	0.336	16.0	2.0	6	59.4
0.579	0.909	11.0	2.0	0	59.4
0.093	0.723	13.0	1.0	6	66.2
0.579	0.171	11.0	1.0	5	84.2
0.839	0.954	19.0	1.0	6	98.4
0.579	0.909	20.0	2.0	13	101.2
0.476	0.241	19.0	2.0	6	102.8
0.093	0.723	37.0	1.0	11	119.6
0.543	0.171	8.0	1.0	12	134.2
0.499	0.54	41.0	2.0	6	143.4
0.839	0.954	48.0	1.0	7	265.0
