p_c	p_m	N	c_0	Step_Found	VALUE
0.878	0.418	37.0	2.0	4	28.6
0.139	0.446	17.0	1.0	11	37.8
0.441	0.634	13.0	1.0	5	61.2
0.3	0.261	20.0	2.0	4	62.6
0.035	0.446	17.0	1.0	5	69.8
0.101	0.079	40.0	1.0	12	76.8
0.789	0.167	10.0	2.0	13	108.4
0.712	0.261	20.0	2.0	11	111.2
0.233	0.32	43.0	2.0	10	132.6
0.035	0.446	35.0	1.0	1	135.4
0.789	0.418	37.0	2.0	2	153.6
0.233	0.32	43.0	1.0	13	199.8
0.628	0.381	13.0	1.0	11	212.6
0.628	0.975	37.0	1.0	3	222.4
0.3	0.261	10.0	2.0	8	267.6
