p_c	p_m	N	c_0	Step_Found	VALUE
0.253	0.854	50.0	1.0	5	31.4
0.102	0.821	16.0	2.0	11	32.0
0.841	0.176	35.0	2.0	8	34.2
0.295	0.332	16.0	2.0	7	55.6
0.035	0.787	35.0	2.0	1	56.8
0.841	0.176	36.0	2.0	13	58.0
0.253	0.854	18.0	2.0	8	60.8
0.295	0.332	43.0	1.0	3	62.0
0.655	0.832	3.0	2.0	11	62.2
0.295	0.188	50.0	1.0	1	70.0
0.395	0.69	7.0	2.0	11	73.2
0.295	0.332	16.0	1.0	6	80.0
0.841	0.195	35.0	2.0	10	222.0
0.253	0.729	50.0	2.0	7	297.0
0.655	0.045	25.0	1.0	7	467.8
