p_c	p_m	N	c_0	Step_Found	VALUE
0.362	0.479	22.0	1.0	4	19.0
0.418	0.25	20.0	2.0	9	26.5
0.812	0.349	24.0	2.0	1	49.75
0.014	0.389	23.0	2.0	7	51.0
0.283	0.566	23.0	2.0	2	51.75
0.924	0.197	4.0	2.0	9	73.0
0.108	0.479	22.0	1.0	1	73.75
0.675	0.046	28.0	2.0	2	89.0
0.11	0.606	3.0	1.0	9	100.0
0.029	0.402	16.0	2.0	1	110.25
0.11	0.606	11.0	1.0	13	110.5
0.661	0.141	24.0	2.0	4	122.0
0.283	0.164	5.0	2.0	13	138.0
0.433	0.194	31.0	1.0	1	201.25
0.101	0.479	22.0	1.0	9	291.5
