p_c	p_m	N	c_0	Step_Found	VALUE
0.559	0.778	41.0	2.0	6	30.0
0.159	0.654	47.0	2.0	2	35.5
0.519	0.934	47.0	2.0	6	39.166666666666664
0.729	0.131	45.0	2.0	7	40.833333333333336
0.136	0.442	44.0	1.0	9	48.5
0.136	0.442	5.0	1.0	4	56.166666666666664
0.251	0.874	24.0	2.0	8	63.5
0.729	0.131	40.0	2.0	5	75.66666666666667
0.618	0.778	41.0	2.0	1	100.5
0.322	0.131	43.0	2.0	0	103.33333333333333
0.629	0.874	6.0	1.0	13	107.66666666666667
0.39	0.303	43.0	2.0	2	188.33333333333334
0.231	0.335	30.0	1.0	0	189.16666666666666
0.787	0.659	46.0	1.0	6	204.16666666666666
0.044	0.874	6.0	1.0	2	281.3333333333333
