p_c	p_m	N	c_0	Step_Found	VALUE
0.907	0.236	22.0	2.0	2	17.5
0.229	0.057	3.0	2.0	6	21.5
0.974	0.057	45.0	2.0	8	25.0
0.926	0.923	28.0	1.0	6	30.0
0.907	0.391	9.0	2.0	5	31.0
0.05	0.801	21.0	1.0	0	37.0
0.05	0.781	2.0	2.0	9	55.5
0.663	0.904	36.0	1.0	0	102.5
0.671	0.539	36.0	1.0	12	121.0
0.907	0.236	38.0	2.0	8	184.0
0.907	0.236	40.0	2.0	10	254.5
0.84	0.057	39.0	2.0	11	403.0
0.642	0.977	17.0	1.0	4	510.5
0.671	0.829	36.0	1.0	8	512.0
0.69	0.801	31.0	1.0	3	520.0
